,Unnamed: 0,Make,Model,Variant,Cylinders,Doors,Seating_Capacity,Gears,Ex-Showroom_Price,Fuel_Type,Drivetrain,Displacement,City_Mileage,Kerb_Weight,Cylinder_Configuration,Doors.1,Body_Type,Emission_Norm,Fuel_System,Fuel_Tank_Capacity,Height,Length,Width,Front_Brakes,Rear_Brakes,Power_Steering,Power,Torque,Odometer,Speedometer,Type,Wheelbase,Handbrake,Launch_Date
339,339,Lexus,Lx 450D,V8,,4.0,7.0,6,"Rs. 2,32,90,000",Diesel,FWD (Front Wheel Drive),4461 cc,18 km/litre,2660 kg,V,4.0,SUV,BS IV,Injection,93 litres,1865 mm,5080 mm,1980 mm,Ventilated Disc,Ventilated Disc,Yes,261PS@6000rpm,650Nm@1600-2600rpm,Digital,Analog,Automatic,2850 mm,Automatic,2019-01-12
340,340,,Mercedes-Benz S-Class Cabriolet,S500,8.0,2.0,4.0,,"Rs. 2,34,91,293",Petrol,RWD (Rear Wheel Drive),4663 cc,5.4 km/litre,2115 kg,V,2.0,Convertible,BS IV,Injection,80 litres,1417 mm,5027 mm,1899 mm,Ventilated Disc,Ventilated Disc,Electric Power,455PS@5500RPM,700Nm@1800-3500RPM,Digital,Analog,Automatic,2945 mm,Automatic,2022-02-08
341,341,Audi,R8,V10 Plus,10.0,2.0,2.0,7,"Rs. 2,72,45,000",Petrol,AWD (All Wheel Drive),5204 cc,7.8 km/litre,1670 kg,V,2.0,Coupe,BS IV,Injection,75 litres,1252 mm,4440 mm,2029 mm,Ventilated Disc,Ventilated Disc,Electric Power,610PS@8250rpm,560Nm@6500rpm,Digital,Analog,Automatic,2650 mm,Manual,2022-02-13
342,342,Lamborghini,Urus,V8,8.0,5.0,5.0,,"Rs. 3,00,00,000",Petrol,AWD (All Wheel Drive),3996 cc,,2200 kg,V,5.0,SUV,BS IV,Injection,75 litres,1638 mm,5112 mm,2181 mm,Ventilated Disc,Ventilated Disc,Yes,650PS@6000rpm,850Nm@2250-4500rpm,Yes,Digital,Automatic,3003 mm,Automatic,2019-02-28
343,343,Bentley,Continental Gt,Coupe,12.0,2.0,4.0,8,"Rs. 3,37,91,059",Petrol,AWD (All Wheel Drive),5998 cc,5.3 km/litre,2320 kg,W,2.0,Coupe,BS IV,Injection,90 litres,1401 mm,4807 mm,2226 mm,Ventilated Disc,Ventilated Disc,Electric Power,590PS@6000rpm,720Nm@1800rpm,Digital,Analog,Automatic,2746 mm,Automatic,2021-09-17
344,344,Ferrari,Portofino,V8 Convertible,8.0,2.0,2.0,7,"Rs. 3,50,00,000",Petrol,AWD (All Wheel Drive),3855 cc,6 km/litre,1730 kg,V,2.0,Convertible,BS IV,Injection,92 litres,1320 mm,4569 mm,1910 mm,Ventilated Disc,Ventilated Disc,Electric Power,560PS@7500rpm,755NM@4750rpm,Digital,Analog,Automatic,2669 mm,Automatic,2019-01-05
345,345,Bentley,Bentayga,W12,12.0,5.0,5.0,8,"Rs. 4,59,41,557",Petrol,AWD (All Wheel Drive),5950 cc,"9,6 km/litre",2422 kg,W,5.0,SUV,BS IV,PGM - Fi,85 litres,1742 mm,5141 mm,1998 mm,Ventilated Disc,Ventilated Disc,Electro-Hydraulic,608PS@6000RPM,900Nm@1350rpm,Digital,Digital,Automatic,2992 mm,Automatic,2019-06-29
346,346,Bentley,Bentayga,V8,12.0,5.0,5.0,8,"Rs. 3,75,42,069",Petrol,AWD (All Wheel Drive),3996 cc,,2428 kg,W,5.0,SUV,BS IV,PGM - Fi,85 litres,1742 mm,5140 mm,1998 mm,Ventilated Disc,Ventilated Disc,Electro-Hydraulic,550PS@6000RPM,770Nm@1350rpm,Digital,Digital,Automatic,2995 mm,Automatic,2020-03-21
347,347,Aston Martin,Db 11,V12,12.0,2.0,2.0,,"Rs. 4,04,56,503",Petrol,AWD (All Wheel Drive),5198 cc,6 km/litre,1680 kg,V,2.0,Coupe,,Injection,80 litres,1250 mm,4385 mm,1865 mm,Ventilated Disc,Ventilated Disc,Hydraulic Power,608PS@6500rpm,700Nm@1500rpm,Digital,Digital,Automatic,2600 mm,Automatic,2022-01-13
348,348,Ferrari,458 Speciale,Coupe,8.0,2.0,2.0,7,"Rs. 4,25,31,500",Petrol,AWD (All Wheel Drive),4497 cc,6 km/litre,1395 kg,V,2.0,Coupe,BS IV,Injection,86 litres,1203 mm,4571 mm,1951 mm,Ventilated Disc,Ventilated Disc,Electric Power,605PS@9000rpm,540Nm@6000rpm,Digital,Analog,Automatic,2650 mm,Automatic,2021-08-01
